Category: All categories

Month,Dubai chocolate: (Worldwide),Pistachio: (Worldwide),Pistachios: (Worldwide)
2014-11,0,35,2
2014-12,0,41,2
2015-01,0,41,1
2015-02,0,37,1
2015-03,0,41,1
2015-04,0,38,1
2015-05,0,38,1
2015-06,0,33,1
2015-07,0,35,1
2015-08,0,36,1
2015-09,0,37,1
2015-10,0,39,1
2015-11,0,38,1
2015-12,0,45,2
2016-01,0,38,1
2016-02,0,37,1
2016-03,0,38,1
2016-04,0,35,1
2016-05,0,37,1
2016-06,0,34,1
2016-07,0,33,1
2016-08,0,33,1
2016-09,0,34,1
2016-10,0,35,1
2016-11,0,30,2
2016-12,0,34,3
2017-01,0,30,2
2017-02,0,30,2
2017-03,0,31,2
2017-04,0,32,2
2017-05,0,29,2
2017-06,0,28,2
2017-07,0,28,2
2017-08,0,28,2
2017-09,0,30,2
2017-10,0,30,2
2017-11,0,32,2
2017-12,0,39,3
2018-01,0,32,2
2018-02,0,32,2
2018-03,0,35,2
2018-04,0,31,2
2018-05,0,33,2
2018-06,0,31,2
2018-07,0,30,2
2018-08,0,30,2
2018-09,0,31,2
2018-10,0,30,2
2018-11,0,35,2
2018-12,0,44,3
2019-01,0,35,2
2019-02,0,35,2
2019-03,0,35,2
2019-04,0,33,2
2019-05,0,33,3
2019-06,0,31,3
2019-07,0,34,2
2019-08,0,35,2
2019-09,0,35,2
2019-10,0,37,2
2019-11,0,40,3
2019-12,0,46,4
2020-01,0,40,3
2020-02,0,37,3
2020-03,0,33,3
2020-04,0,39,4
2020-05,0,42,4
2020-06,<1,38,3
2020-07,0,39,3
2020-08,0,39,3
2020-09,0,40,3
2020-10,0,45,3
2020-11,0,47,4
2020-12,0,56,5
2021-01,0,51,4
2021-02,0,49,5
2021-03,0,53,5
2021-04,0,49,5
2021-05,0,46,4
2021-06,0,43,4
2021-07,0,44,4
2021-08,0,42,4
2021-09,0,42,4
2021-10,0,44,5
2021-11,0,46,5
2021-12,0,52,6
2022-01,0,51,6
2022-02,0,51,6
2022-03,0,49,5
2022-04,0,52,6
2022-05,0,46,5
2022-06,0,45,4
2022-07,0,47,5
2022-08,0,52,4
2022-09,0,49,4
2022-10,0,47,4
2022-11,0,47,4
2022-12,0,56,6
2023-01,0,50,5
2023-02,0,51,5
2023-03,0,56,4
2023-04,0,61,4
2023-05,0,51,4
2023-06,0,53,3
2023-07,0,49,3
2023-08,0,55,4
2023-09,0,56,4
2023-10,0,54,4
2023-11,0,60,4
2023-12,0,75,5
2024-01,0,58,4
2024-02,0,62,5
2024-03,0,76,9
2024-04,0,69,7
2024-05,0,68,7
2024-06,0,69,5
2024-07,0,70,5
2024-08,0,71,5
2024-09,0,74,5
2024-10,4,79,6
2024-11,31,88,7
2024-12,35,98,10
2025-01,31,86,8
2025-02,57,87,10
2025-03,78,100,11
2025-04,63,93,10
2025-05,49,79,7
2025-06,35,76,5
2025-07,38,81,5
2025-08,39,83,6
2025-09,29,75,5
2025-10,27,74,5
2025-11,26,81,6
2025-12,28,95,8
2026-01,30,79,6
2026-02,32,86,5
2026-03,32,85,7
2026-04,24,80,6
2026-05,20,82,6
2026-06,16,68,5
